Gender;Age;age_ed;education;Group;answers;q_1;q_2;q_3;q_4;q_5;q_6;q_1_p;q_2_p;q_3_p;q_4_p;q_5_p;q_6_p;t_1;t_2;t_3;t_4;t_5;t_6
Мужчина;20;14;среднее;D;{6.0: ['a2', 'a2', 10350.0], 5.0: ['a2', 'a1', 8779.0], 1.0: ['a2', 'a3', 8638.0], 4.0: ['a2', 'a2', 9657.0], 2.0: ['a2', 'a1', 6594.0], 3.0: ['a2', 'a3', 9859.0]};a2;a2;a2;a2;a2;a2;0;0;0;1;0;1;8638;6594;9859;9657;8779;10350
Мужчина;21;14;неоконечнное высшее;A;{2.0: ['a2', 'a3', 12432.0], 3.0: ['a2', 'a1', 9632.0], 6.0: ['a2', 'a2', 8201.0], 4.0: ['a2', 'a1', 10867.0], 5.0: ['a2', 'a2', 8498.0], 1.0: ['a2', 'a3', 7716.0]};a2;a2;a2;a2;a2;a2;0;0;0;0;1;1;7716;12432;9632;10867;8498;8201
Мужчина;19;13;среднее;B;{6.0: ['a3', 'a2', 12406.0], 1.0: ['a2', 'a3', 12959.0], 4.0: ['a2', 'a1', 10479.0], 5.0: ['a2', 'a2', 9231.0], 2.0: ['a2', 'a3', 10678.0], 3.0: ['a1', 'a1', 8351.0]};a2;a2;a1;a2;a2;a3;0;0;1;0;1;0;12959;10678;8351;10479;9231;12406
Мужчина;43;;среднее;D;{2.0: ['a2', 'a1', 13782.0], 4.0: ['a2', 'a2', 12216.0], 1.0: ['a2', 'a3', 9984.0], 3.0: ['a2', 'a3', 10232.0], 5.0: ['a2', 'a1', 9064.0], 6.0: ['a2', 'a2', 8936.0]};a2;a2;a2;a2;a2;a2;0;0;0;1;0;1;9984;13782;10232;12216;9064;8936
Женщина;41;17;высшее;D;{3.0: ['a1', 'a3', 10880.0], 4.0: ['a1', 'a2', 11039.0], 5.0: ['a1', 'a1', 7721.0], 2.0: ['a1', 'a1', 8141.0], 6.0: ['a1', 'a2', 11020.0], 1.0: ['a1', 'a3', 7637.0]};a1;a1;a1;a1;a1;a1;0;1;0;0;1;0;7637;8141;10880;11039;7721;11020
Мужчина;20;13;неоконченное высшее;B;{1.0: ['a3', 'a3', 42390.0], 6.0: ['a3', 'a2', 14720.0], 2.0: ['a3', 'a3', 10059.0], 4.0: ['a3', 'a1', 14599.0], 5.0: ['a3', 'a2', 11622.0], 3.0: ['a3', 'a1', 12816.0]};a3;a3;a3;a3;a3;a3;1;1;0;0;0;0;42390;10059;12816;14599;11622;14720
Мужчина;21;14;неоконченное высшее;B;{4.0: ['a3', 'a1', 12087.0], 3.0: ['a1', 'a1', 9433.0], 1.0: ['a3', 'a3', 8384.0], 5.0: ['a2', 'a2', 9629.0], 2.0: ['a3', 'a3', 11417.0], 6.0: ['a3', 'a2', 10017.0]};a3;a3;a1;a3;a2;a3;1;1;1;0;1;0;8384;11417;9433;12087;9629;10017
Мужчина;20;13;высшее;B;{1.0: ['a2', 'a3', 27283.0], 3.0: ['a3', 'a1', 14254.0], 2.0: ['a3', 'a3', 9941.0], 4.0: ['a1', 'a1', 16527.0], 5.0: ['a2', 'a2', 10221.0], 6.0: ['a2', 'a2', 8706.0]};a2;a3;a3;a1;a2;a2;0;1;0;1;1;1;27283;9941;14254;16527;10221;8706
Мужчина;19;14;неоконченное высшее;B;{1.0: ['a3', 'a3', 28432.0], 4.0: ['a3', 'a1', 20089.0], 2.0: ['a3', 'a3', 14612.0], 3.0: ['a3', 'a1', 10641.0], 5.0: ['a3', 'a2', 10905.0], 6.0: ['a3', 'a2', 12552.0]};a3;a3;a3;a3;a3;a3;1;1;0;0;0;0;28432;14612;10641;20089;10905;12552
Женщина;35;16;высшее;C;{4.0: ['a2', 'a2', 12634.0], 5.0: ['a2', 'a1', 9549.0], 3.0: ['a1', 'a3', 9999.0], 6.0: ['a2', 'a2', 8029.0], 2.0: ['a1', 'a1', 8917.0], 1.0: ['a2', 'a3', 9431.0]};a2;a1;a1;a2;a2;a2;0;1;0;1;0;1;9431;8917;9999;12634;9549;8029
Мужчина;20;14;неоконченное высшее;C;{3.0: ['a1', 'a3', 27241.0], 2.0: ['a3', 'a1', 14916.0], 5.0: ['a1', 'a1', 8761.0], 1.0: ['a2', 'a3', 12932.0], 6.0: ['a2', 'a2', 10507.0], 4.0: ['a2', 'a2', 14419.0]};a2;a3;a1;a2;a1;a2;0;0;0;1;1;1;12932;14916;27241;14419;8761;10507
Мужчина;45;15;оконченное высшее;B;{4.0: ['a1', 'a1', 10862.0], 5.0: ['a1', 'a2', 10278.0], 3.0: ['a2', 'a1', 8801.0], 1.0: ['a3', 'a3', 9631.0], 2.0: ['a1', 'a3', 8544.0], 6.0: ['a2', 'a2', 8877.0]};a3;a1;a2;a1;a1;a2;1;0;0;1;0;1;9631;8544;8801;10862;10278;8877
Мужчина;19;19;неоконченное высшее;B;{1.0: ['a2', 'a3', 17929.0], 6.0: ['a2', 'a2', 9460.0], 5.0: ['a2', 'a2', 10233.0], 2.0: ['a2', 'a3', 9009.0], 4.0: ['a4', 'a1', 10927.0], 3.0: ['a1', 'a1', 10378.0]};a2;a2;a1;a4;a2;a2;0;0;1;0;1;1;17929;9009;10378;10927;10233;9460
Мужчина;22;15;высшее;A;{6.0: ['a2', 'a2', 11708.0], 4.0: ['a2', 'a1', 11191.0], 3.0: ['a2', 'a1', 10902.0], 1.0: ['a2', 'a3', 7839.0], 5.0: ['a2', 'a2', 8901.0], 2.0: ['a2', 'a3', 8148.0]};a2;a2;a2;a2;a2;a2;0;0;0;0;1;1;7839;8148;10902;11191;8901;11708
Мужчина;30;;кандидат всех наук;B;{2.0: ['a3', 'a3', 19267.0], 1.0: ['a3', 'a3', 7965.0], 3.0: ['a1', 'a1', 10247.0], 5.0: ['a2', 'a2', 10902.0], 6.0: ['a2', 'a2', 8182.0], 4.0: ['a2', 'a1', 12916.0]};a3;a3;a1;a2;a2;a2;1;1;1;0;1;1;7965;19267;10247;12916;10902;8182
Мужчина;21;14;высшее;D;{3.0: ['a2', 'a3', 26015.0], 5.0: ['a4', 'a1', 19999.0], 4.0: ['a2', 'a2', 20980.0], 6.0: ['a2', 'a2', 10798.0], 2.0: ['a2', 'a1', 14019.0], 1.0: ['a2', 'a3', 9498.0]};a2;a2;a2;a2;a4;a2;0;0;0;1;0;1;9498;14019;26015;20980;19999;10798
Женщина;50;15;высшее;A;{3.0: ['a1', 'a1', 15480.0], 2.0: ['a1', 'a3', 12184.0], 4.0: ['a1', 'a1', 10866.0], 5.0: ['a2', 'a2', 10247.0], 6.0: ['a2', 'a2', 8879.0], 1.0: ['a1', 'a3', 8143.0]};a1;a1;a1;a1;a2;a2;0;0;1;1;1;1;8143;12184;15480;10866;10247;8879
Мужчина;63;10;среднее;B;{1.0: ['a2', 'a3', 19407.0], 4.0: ['a1', 'a1', 23023.0], 5.0: ['a2', 'a2', 15796.0], 3.0: ['a2', 'a1', 21618.0], 6.0: ['a2', 'a2', 14077.0], 2.0: ['a1', 'a3', 15123.0]};a2;a1;a2;a1;a2;a2;0;0;0;1;1;1;19407;15123;21618;23023;15796;14077
Женщина;40;19;высшее;C;{4.0: ['a1', 'a2', 33965.0], 1.0: ['a1', 'a3', 17738.0], 3.0: ['a1', 'a3', 12701.0], 6.0: ['a2', 'a2', 22383.0], 5.0: ['a1', 'a1', 15739.0], 2.0: ['a1', 'a1', 13973.0]};a1;a1;a1;a1;a1;a2;0;1;0;0;1;1;17738;13973;12701;33965;15739;22383
Женщина;40;17;высшее;C;{4.0: ['a1', 'a2', 12147.0], 1.0: ['a1', 'a3', 10556.0], 6.0: ['a2', 'a2', 15221.0], 5.0: ['a2', 'a1', 12136.0], 3.0: ['a3', 'a3', 9488.0], 2.0: ['a2', 'a1', 10350.0]};a1;a2;a3;a1;a2;a2;0;0;1;0;0;1;10556;10350;9488;12147;12136;15221
Женщина;55;;спо;A;{3.0: ['a1', 'a1', 14749.0], 4.0: ['a1', 'a1', 16587.0], 5.0: ['a2', 'a2', 17719.0], 1.0: ['a2', 'a3', 13523.0], 6.0: ['a2', 'a2', 10758.0], 2.0: ['a2', 'a3', 9680.0]};a2;a2;a1;a1;a2;a2;0;0;1;1;1;1;13523;9680;14749;16587;17719;10758
Женщина;43;18;высшее;D;{4.0: ['a2', 'a2', 29060.0], 3.0: ['a2', 'a3', 13244.0], 1.0: ['a2', 'a3', 12548.0], 6.0: ['a2', 'a2', 16421.0], 2.0: ['a2', 'a1', 11942.0], 5.0: ['a2', 'a1', 12018.0]};a2;a2;a2;a2;a2;a2;0;0;0;1;0;1;12548;11942;13244;29060;12018;16421
Женщина;55;;высшее;A;{5.0: ['a2', 'a2', 11756.0], 4.0: ['a2', 'a1', 17913.0], 6.0: ['a2', 'a2', 11080.0], 3.0: ['a3', 'a1', 31874.0], 1.0: ['a3', 'a3', 10889.0], 2.0: ['a3', 'a3', 10737.0]};a3;a3;a3;a2;a2;a2;1;1;0;0;1;1;10889;10737;31874;17913;11756;11080
Женщина;43;17;высшее;B;{2.0: ['a3', 'a3', 37565.0], 6.0: ['a3', 'a2', 15604.0], 1.0: ['a3', 'a3', 11708.0], 5.0: ['a3', 'a2', 23706.0], 4.0: ['a4', 'a1', 43332.0], 3.0: ['a1', 'a1', 16312.0]};a3;a3;a1;a4;a3;a3;1;1;1;0;0;0;11708;37565;16312;43332;23706;15604
Мужчина;20;;спо;B;{6.0: ['a2', 'a2', 10000.0], 4.0: ['a1', 'a1', 12455.0], 1.0: ['a2', 'a3', 9141.0], 5.0: ['a2', 'a2', 9146.0], 2.0: ['a2', 'a3', 9566.0], 3.0: ['a2', 'a1', 13167.0]};a2;a2;a2;a1;a2;a2;0;0;0;1;1;1;9141;9566;13167;12455;9146;10000
Женщина;57;15;высшее;A;{3.0: ['a1', 'a1', 20895.0], 6.0: ['a2', 'a2', 9696.0], 2.0: ['a1', 'a3', 10691.0], 1.0: ['a2', 'a3', 10341.0], 5.0: ['a2', 'a2', 9847.0], 4.0: ['a1', 'a1', 13601.0]};a2;a1;a1;a1;a2;a2;0;0;1;1;1;1;10341;10691;20895;13601;9847;9696
Женщина;42;15;высшее;C;{5.0: ['a2', 'a1', 36375.0], 2.0: ['a1', 'a1', 16976.0], 3.0: ['a2', 'a3', 16575.0], 1.0: ['a2', 'a3', 13903.0], 6.0: ['a2', 'a2', 21352.0], 4.0: ['a2', 'a2', 17055.0]};a2;a1;a2;a2;a2;a2;0;1;0;1;0;1;13903;16976;16575;17055;36375;21352
Женщина;60;;высшее;A;{6.0: ['a2', 'a2', 13304.0], 2.0: ['a1', 'a3', 11695.0], 4.0: ['a1', 'a1', 23712.0], 1.0: ['a2', 'a3', 13176.0], 3.0: ['a1', 'a1', 13463.0], 5.0: ['a2', 'a2', 9256.0]};a2;a1;a1;a1;a2;a2;0;0;1;1;1;1;13176;11695;13463;23712;9256;13304
Женщина;44;18;высшее;D;{3.0: ['a4', 'a3', 10472.0], 4.0: ['a1', 'a2', 23511.0], 6.0: ['a1', 'a2', 14403.0], 5.0: ['a1', 'a1', 11303.0], 2.0: ['a1', 'a1', 13439.0], 1.0: ['a1', 'a3', 9375.0]};a1;a1;a4;a1;a1;a1;0;1;0;0;1;0;9375;13439;10472;23511;11303;14403
Женщина;48;19;высшее;D;{6.0: ['a2', 'a2', 22239.0], 3.0: ['a2', 'a3', 14615.0], 2.0: ['a2', 'a1', 12638.0], 5.0: ['a2', 'a1', 9282.0], 1.0: ['a2', 'a3', 10913.0], 4.0: ['a2', 'a2', 11691.0]};a2;a2;a2;a2;a2;a2;0;0;0;1;0;1;10913;12638;14615;11691;9282;22239
Женщина;50;15;высшее;D;{2.0: ['a1', 'a1', 150928.0], 6.0: ['a1', 'a2', 25351.0], 5.0: ['a1', 'a1', 18664.0], 4.0: ['a2', 'a2', 21498.0], 1.0: ['a2', 'a3', 11514.0], 3.0: ['a2', 'a3', 15124.0]};a2;a1;a2;a2;a1;a1;0;1;0;1;1;0;11514;150928;15124;21498;18664;25351
Женщина;60;15;высшее;A;{4.0: ['a1', 'a1', 20306.0], 1.0: ['a3', 'a3', 14699.0], 5.0: ['a3', 'a2', 11340.0], 3.0: ['a1', 'a1', 8954.0], 2.0: ['a3', 'a3', 15044.0], 6.0: ['a1', 'a2', 15531.0]};a3;a3;a1;a1;a3;a1;1;1;1;1;0;0;14699;15044;8954;20306;11340;15531
Женщина;50;15;высшее;C;{1.0: ['a2', 'a3', 12707.0], 5.0: ['a1', 'a1', 29480.0], 2.0: ['a1', 'a1', 10494.0], 4.0: ['a4', 'a2', 27390.0], 3.0: ['a1', 'a3', 12070.0], 6.0: ['a1', 'a2', 8662.0]};a2;a1;a1;a4;a1;a1;0;1;0;0;1;0;12707;10494;12070;27390;29480;8662
Женщина;51;30;высшее;D;{4.0: ['a1', 'a2', 46463.0], 3.0: ['a2', 'a3', 40256.0], 5.0: ['a2', 'a1', 17343.0], 6.0: ['a2', 'a2', 19927.0], 2.0: ['a1', 'a1', 21119.0], 1.0: ['a4', 'a3', 18022.0]};a4;a1;a2;a1;a2;a2;0;1;0;0;0;1;18022;21119;40256;46463;17343;19927
Женщина;46;16;высшее;B;{3.0: ['a1', 'a1', 26420.0], 1.0: ['a1', 'a3', 10833.0], 2.0: ['a1', 'a3', 14271.0], 6.0: ['a1', 'a2', 10259.0], 4.0: ['a1', 'a1', 19424.0], 5.0: ['a1', 'a2', 10393.0]};a1;a1;a1;a1;a1;a1;0;0;1;1;0;0;10833;14271;26420;19424;10393;10259
Мужчина;22;15;высшее;D;{6.0: ['a2', 'a2', 23682.0], 4.0: ['a2', 'a2', 18866.0], 5.0: ['a2', 'a1', 19340.0], 2.0: ['a2', 'a1', 12611.0], 1.0: ['a3', 'a3', 14371.0], 3.0: ['a2', 'a3', 27048.0]};a3;a2;a2;a2;a2;a2;1;0;0;1;0;1;14371;12611;27048;18866;19340;23682
Мужчина;20;;неоконченное высшее;C;{4.0: ['a2', 'a2', 16206.0], 1.0: ['a2', 'a3', 10830.0], 6.0: ['a2', 'a2', 13212.0], 3.0: ['a2', 'a3', 11865.0], 2.0: ['a1', 'a1', 12311.0], 5.0: ['a2', 'a1', 10382.0]};a2;a1;a2;a2;a2;a2;0;1;0;1;0;1;10830;12311;11865;16206;10382;13212
Мужчина;55;30;высшее;B;{6.0: ['a3', 'a2', 70299.0], 3.0: ['a1', 'a1', 24048.0], 4.0: ['a1', 'a1', 20976.0], 2.0: ['a1', 'a3', 15377.0], 5.0: ['a2', 'a2', 14143.0], 1.0: ['a3', 'a3', 19740.0]};a3;a1;a1;a1;a2;a3;1;0;1;1;1;0;19740;15377;24048;20976;14143;70299
Мужчина;21;14;неоконченное высшее;B;{4.0: ['a2', 'a1', 11570.0], 1.0: ['a2', 'a3', 14164.0], 3.0: ['a1', 'a1', 13415.0], 5.0: ['a2', 'a2', 8722.0], 6.0: ['a2', 'a2', 1476490.0], 2.0: ['a2', 'a3', 43549.0]};a2;a2;a1;a2;a2;a2;0;0;1;0;1;1;14164;43549;13415;11570;8722;1476490
Мужчина;26;17;высшее;B;{1.0: ['a2', 'a3', 23751.0], 2.0: ['a3', 'a3', 42579.0], 5.0: ['a2', 'a2', 10395.0], 6.0: ['a2', 'a2', 8768.0], 4.0: ['a1', 'a1', 11878.0], 3.0: ['a1', 'a1', 9180.0]};a2;a3;a1;a1;a2;a2;0;1;1;1;1;1;23751;42579;9180;11878;10395;8768
Женщина;52;15;высшее;C;{2.0: ['a1', 'a1', 26401.0], 1.0: ['a4', 'a3', 21110.0], 6.0: ['a1', 'a2', 17961.0], 4.0: ['a1', 'a2', 18817.0], 5.0: ['a1', 'a1', 10404.0], 3.0: ['a1', 'a3', 10042.0]};a4;a1;a1;a1;a1;a1;0;1;0;0;1;0;21110;26401;10042;18817;10404;17961
Мужчина;34;16;высшее;B;{6.0: ['a3', 'a2', 22311.0], 5.0: ['a2', 'a2', 9261.0], 4.0: ['a4', 'a1', 13721.0], 2.0: ['a2', 'a3', 10799.0], 1.0: ['a2', 'a3', 8323.0], 3.0: ['a1', 'a1', 10533.0]};a2;a2;a1;a4;a2;a3;0;0;1;0;1;0;8323;10799;10533;13721;9261;22311
Мужчина;34;12;среднее;C;{2.0: ['a2', 'a1', 7518.0], 4.0: ['a2', 'a2', 9800.0], 5.0: ['a2', 'a1', 7277.0], 3.0: ['a3', 'a3', 10896.0], 6.0: ['a2', 'a2', 8203.0], 1.0: ['a2', 'a3', 8449.0]};a2;a2;a3;a2;a2;a2;0;0;1;1;0;1;8449;7518;10896;9800;7277;8203
Мужчина;55;15;высшее;D;{3.0: ['a1', 'a3', 36021.0], 1.0: ['a4', 'a3', 51393.0], 4.0: ['a1', 'a2', 22839.0], 6.0: ['a2', 'a2', 34564.0], 5.0: ['a2', 'a1', 23891.0], 2.0: ['a2', 'a1', 57545.0]};a4;a2;a1;a1;a2;a2;0;0;0;0;0;1;51393;57545;36021;22839;23891;34564
Женщина;61;35;высшее;A;{6.0: ['a2', 'a2', 24268.0], 4.0: ['a1', 'a1', 22191.0], 5.0: ['a2', 'a2', 12534.0], 2.0: ['a2', 'a3', 13617.0], 3.0: ['a2', 'a1', 11111.0], 1.0: ['a2', 'a3', 13817.0]};a2;a2;a2;a1;a2;a2;0;0;0;1;1;1;13817;13617;11111;22191;12534;24268
Женщина;62;15;высшее;A;{4.0: ['a4', 'a1', 18121.0], 1.0: ['a1', 'a3', 15427.0], 5.0: ['a2', 'a2', 12791.0], 3.0: ['a1', 'a1', 10751.0], 2.0: ['a1', 'a3', 10991.0], 6.0: ['a3', 'a2', 16311.0]};a1;a1;a1;a4;a2;a3;0;0;1;0;1;0;15427;10991;10751;18121;12791;16311
Мужчина;20;13;неоконченное высшее;B;{5.0: ['a2', 'a2', 45514.0], 3.0: ['a3', 'a1', 36113.0], 4.0: ['a3', 'a1', 44135.0], 6.0: ['a2', 'a2', 14636.0], 1.0: ['a2', 'a3', 11569.0], 2.0: ['a3', 'a3', 28968.0]};a2;a3;a3;a3;a2;a2;0;1;0;0;1;1;11569;28968;36113;44135;45514;14636
Мужчина;62;15;высшее;A;{2.0: ['a2', 'a3', 31518.0], 3.0: ['a1', 'a1', 16885.0], 1.0: ['a1', 'a3', 19341.0], 6.0: ['a1', 'a2', 29373.0], 4.0: ['a1', 'a1', 13581.0], 5.0: ['a1', 'a2', 12966.0]};a1;a2;a1;a1;a1;a1;0;0;1;1;0;0;19341;31518;16885;13581;12966;29373
Мужчина;31;15;высшее;B;{1.0: ['a1', 'a3', 40790.0], 3.0: ['a1', 'a1', 104266.0], 4.0: ['a2', 'a1', 20352.0], 6.0: ['a2', 'a2', 28668.0], 5.0: ['a2', 'a2', 11694.0], 2.0: ['a2', 'a3', 29266.0]};a1;a2;a1;a2;a2;a2;0;0;1;0;1;1;40790;29266;104266;20352;11694;28668
Женщина;57;17;высшее;C;{1.0: ['a2', 'a3', 27554.0], 4.0: ['a2', 'a2', 30726.0], 3.0: ['a2', 'a3', 20405.0], 6.0: ['a2', 'a2', 10070.0], 2.0: ['a2', 'a1', 32390.0], 5.0: ['a2', 'a1', 14605.0]};a2;a2;a2;a2;a2;a2;0;0;0;1;0;1;27554;32390;20405;30726;14605;10070
Мужчина;48;15;высшее;D;{6.0: ['a2', 'a2', 20481.0], 5.0: ['a2', 'a1', 16513.0], 4.0: ['a2', 'a2', 18027.0], 1.0: ['a2', 'a3', 11344.0], 3.0: ['a2', 'a3', 10604.0], 2.0: ['a2', 'a1', 10352.0]};a2;a2;a2;a2;a2;a2;0;0;0;1;0;1;11344;10352;10604;18027;16513;20481
Женщина;65;15;высшее;A;{6.0: ['a2', 'a2', 24135.0], 2.0: ['a1', 'a3', 16869.0], 4.0: ['a4', 'a1', 16799.0], 3.0: ['a1', 'a1', 14869.0], 5.0: ['a1', 'a2', 13289.0], 1.0: ['a1', 'a3', 13311.0]};a1;a1;a1;a4;a1;a2;0;0;1;0;0;1;13311;16869;14869;16799;13289;24135
Женщина;51;15;высшее;B;{1.0: ['a1', 'a3', 41999.0], 4.0: ['a4', 'a1', 37276.0], 5.0: ['a1', 'a2', 20543.0], 6.0: ['a1', 'a2', 16549.0], 3.0: ['a1', 'a1', 19072.0], 2.0: ['a1', 'a3', 16927.0]};a1;a1;a1;a4;a1;a1;0;0;1;0;0;0;41999;16927;19072;37276;20543;16549
